Fecha,Precipitacion_mm
2019-04-14,2.0585012435913086
2019-04-15,6.175503730773926
2019-04-16,0
2019-04-17,3.082192897796631
2019-04-18,0
2019-04-19,3.082192897796631
2019-04-20,6.164385795593262
2019-04-21,11.473381042480469
2019-04-22,7.584769248962402
2019-04-23,2.904679775238037
2019-04-24,4.196189880371094
2019-04-25,8.94275188446045
2019-04-26,3.8756277561187744
2019-04-27,5.813441276550293
2019-04-28,3.8756277561187744
2019-04-29,1.9378138780593872
2019-04-30,1.9378138780593872
2019-05-01,0
2019-05-02,0
2019-05-03,0
2019-05-04,1.9376415014266968
2019-05-05,3.8752830028533936
2019-05-06,6.447568416595459
2019-05-07,6.447568416595459
2019-05-08,6.447568416595459
2019-05-09,12.895136833190918
2019-05-10,12.895136833190918
2019-05-11,0
2019-05-12,23.304237365722656
2019-05-13,11.652118682861328
2019-05-14,23.304237365722656
2019-05-15,11.652118682861328
2019-05-16,14.641754150390625
2019-05-17,0
2019-05-18,0
2019-05-19,21.962631225585938
2019-05-20,7.3208770751953125
2019-05-21,9.087785720825195
2019-05-22,4.543892860412598
2019-05-23,9.087785720825195
2019-05-24,9.087785720825195
2019-05-25,4.543892860412598
2019-05-26,10.701988220214844
2019-05-27,42.807952880859375
2019-05-28,42.807952880859375
2019-05-29,10.701988220214844
2019-05-30,42.807952880859375
2019-05-31,10.701988220214844
2019-06-01,5.960468769073486
2019-06-02,5.960468769073486
2019-06-03,11.920937538146973
2019-06-04,5.960468769073486
2019-06-05,11.920937538146973
2019-06-06,3.0843312740325928
2019-06-07,6.1686625480651855
2019-06-08,3.0843312740325928
2019-06-09,3.0843312740325928
2019-06-10,3.0843312740325928
2019-06-11,3.2403252124786377
2019-06-12,0.8774408102035522
2019-06-13,1.0351208448410034
2019-06-14,0.5368399024009705
2019-06-15,1.1833702325820923
2019-06-16,0
2019-06-17,0
2019-06-18,6.304081916809082
2019-06-19,0
2019-06-20,0
2019-06-21,4.4627532958984375
2019-06-22,8.925506591796875
2019-06-23,0
2019-06-24,4.4627532958984375
2019-06-25,4.4627532958984375
2019-06-26,0
2019-06-27,0
2019-06-28,0
2019-06-29,0
2019-06-30,0
2019-07-01,0
2019-07-02,5.431392192840576
2019-07-03,2.715696096420288
2019-07-04,0
2019-07-05,0
2019-07-06,5.977777481079102
2019-07-07,0
2019-07-08,2.988888740539551
2019-07-09,5.977777481079102
2019-07-10,0
2019-07-11,0
2019-07-12,0
2019-07-13,0
2019-07-14,1.7820144891738892
2019-07-15,0
2019-07-16,3.097500801086426
2019-07-17,6.195001602172852
2019-07-18,3.097500801086426
2019-07-19,3.097500801086426
2019-07-20,0
2019-07-21,0
2019-07-22,0
2019-07-23,0
2019-07-24,3.0827672481536865
2019-07-25,0
2019-07-26,0
2019-07-27,3.0077123641967773
2019-07-28,0
2019-07-29,3.0077123641967773
2019-07-30,3.0077123641967773
2019-07-31,9.023137092590332
2019-08-01,12.879666328430176
2019-08-02,12.879666328430176
2019-08-03,0
2019-08-04,6.439833164215088
2019-08-05,19.319499969482422
2019-08-06,6.326900482177734
2019-08-07,6.326900482177734
2019-08-08,3.163450241088867
2019-08-09,6.326900482177734
2019-08-10,0
2019-08-11,6.100034236907959
2019-08-12,0
2019-08-13,0
2019-08-14,12.200068473815918
2019-08-15,6.100034236907959
2019-08-16,9.460260391235352
2019-08-17,0
2019-08-18,0
2019-08-19,6.306839942932129
2019-08-20,0
2019-08-21,4.208251476287842
2019-08-22,0
2019-08-23,6.312376976013184
2019-08-24,2.104125738143921
2019-08-25,2.104125738143921
2019-08-26,3.8136093616485596
2019-08-27,0
2019-08-28,0
2019-08-29,7.627218723297119
2019-08-30,7.627218723297119
2019-08-31,0
2019-09-01,6.729705333709717
2019-09-02,20.189117431640625
2019-09-03,6.729705333709717
2019-09-04,0
2019-09-05,6.729705333709717
2019-09-06,5.140476703643799
2019-09-07,7.710714817047119
2019-09-08,5.140476703643799
2019-09-09,5.140476703643799
2019-09-10,5.140476703643799
2019-09-11,0
2019-09-12,14.413492202758789
2019-09-13,9.60899543762207
2019-09-14,14.413492202758789
2019-09-15,14.413492202758789
2019-09-16,5.812443256378174
2019-09-17,17.437328338623047
2019-09-18,17.437328338623047
2019-09-19,17.437328338623047
2019-09-20,17.437328338623047
2019-09-21,18.37057876586914
2019-09-22,7.348231315612793
2019-09-23,7.348231315612793
2019-09-24,11.022347450256348
2019-09-25,7.348231315612793
2019-09-26,12.47542953491211
2019-09-27,4.15847635269165
2019-09-28,0
2019-09-29,0
2019-09-30,4.15847635269165
2019-10-01,23.106739044189453
2019-10-02,23.106739044189453
2019-10-03,23.106739044189453
2019-10-04,34.66010665893555
2019-10-05,46.213478088378906
2019-10-06,11.046146392822266
2019-10-07,11.046146392822266
2019-10-08,5.523073196411133
2019-10-09,11.046146392822266
2019-10-10,22.09229278564453
2019-10-11,8.89162826538086
2019-10-12,13.337441444396973
2019-10-13,0
2019-10-14,4.44581413269043
2019-10-15,0
2019-10-16,6.840104579925537
2019-10-17,13.680209159851074
2019-10-18,6.840104579925537
2019-10-19,0
2019-10-20,0
2019-10-21,11.846582412719727
2019-10-22,11.846582412719727
2019-10-23,0
2019-10-24,0
2019-10-25,0
2019-10-26,8.648944854736328
2019-10-27,0
2019-10-28,8.648944854736328
2019-10-29,0
2019-10-30,0
2019-10-31,0
2019-11-01,2.61167311668396
2019-11-02,0
2019-11-03,0
2019-11-04,2.61167311668396
2019-11-05,0
2019-11-06,0
2019-11-07,0
2019-11-08,0
2019-11-09,0
2019-11-10,9.029126167297363
2019-11-11,4.175134658813477
2019-11-12,18.7659969329834
2019-11-13,14.866914749145508
2019-11-14,14.848455429077148
2019-11-15,7.2680983543396
2019-11-16,18.169902801513672
2019-11-17,0
2019-11-18,0
2019-11-19,0
2019-11-20,0
2019-11-21,0
2019-11-22,0
2019-11-23,0
2019-11-24,0
2019-11-25,0
2019-11-26,0
2019-11-27,0
2019-11-28,0
2019-11-29,3.2493736743927
2019-11-30,0
2019-12-01,0
2019-12-02,0
2019-12-03,0
2019-12-04,4.145458221435547
2019-12-05,4.145458221435547
2019-12-06,0
2019-12-07,0
2019-12-08,0
2019-12-09,0
2019-12-10,0
2019-12-11,0
2019-12-12,4.160645008087158
2019-12-13,0
2019-12-14,0
2019-12-15,0
2019-12-16,5.137331008911133
2019-12-17,0
2019-12-18,0
2019-12-19,0
2019-12-20,5.137331008911133
2019-12-21,0
2019-12-22,1.7512911558151245
2019-12-23,0
2019-12-24,0
2019-12-25,0
2019-12-26,0
2019-12-27,3.6945528984069824
2019-12-28,0
2019-12-29,0
2019-12-30,0
2019-12-31,3.6945528984069824
2020-01-01,0
2020-01-02,0
2020-01-03,0
2020-01-04,0
2020-01-05,0
2020-01-06,0
2020-01-07,0
2020-01-08,0
2020-01-09,0
2020-01-10,0
2020-01-11,0
2020-01-12,0
2020-01-13,0
2020-01-14,0
2020-01-15,0
2020-01-16,0
2020-01-17,0
2020-01-18,0
2020-01-19,0
2020-01-20,0
2020-01-21,0
2020-01-22,12.991434097290039
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,4.70252799987793
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,3.524608612060547
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,0
2020-03-20,0
2020-03-21,0
2020-03-22,0
2020-03-23,0
2020-03-24,0
2020-03-25,0
2020-03-26,0
2020-03-27,0
2020-03-28,0
2020-03-29,0
2020-03-30,0
2020-03-31,0
2020-04-01,8.04189395904541
2020-04-02,8.04189395904541
2020-04-03,4.020946979522705
2020-04-04,4.020946979522705
2020-04-05,8.04189395904541
2020-04-06,14.516944885253906
2020-04-07,7.258472442626953
2020-04-08,0
2020-04-09,0
2020-04-10,0
2020-04-11,6.972286701202393
2020-04-12,3.4861433506011963
2020-04-13,0
2020-04-14,0
2020-04-15,0
2020-04-16,0
2020-04-17,0
2020-04-18,0
2020-04-19,0
2020-04-20,0
2020-04-21,7.599623203277588
2020-04-22,7.599623203277588
2020-04-23,7.599623203277588
2020-04-24,0
2020-04-25,0
2020-04-26,0
2020-04-27,0
2020-04-28,0
2020-04-29,2.4313061237335205
2020-04-30,4.862612247467041
2020-05-01,2.733699083328247
2020-05-02,2.733699083328247
2020-05-03,0
2020-05-04,5.467398166656494
2020-05-05,5.467398166656494
2020-05-06,0
2020-05-07,16.352602005004883
2020-05-08,16.352602005004883
2020-05-09,16.352602005004883
2020-05-10,8.176301002502441
2020-05-11,0
2020-05-12,7.442015171051025
2020-05-13,0
2020-05-14,0
2020-05-15,22.326045989990234
2020-05-16,4.926392078399658
2020-05-17,4.926392078399658
2020-05-18,4.926392078399658
2020-05-19,4.926392078399658
2020-05-20,2.463196039199829
2020-05-21,3.2799906730651855
2020-05-22,26.078433990478516
2020-05-23,12.356499671936035
2020-05-24,7.3717780113220215
2020-05-25,6.524107933044434
2020-05-26,6.873928546905518
2020-05-27,0
2020-05-28,20.621784210205078
2020-05-29,6.873928546905518
2020-05-30,13.747857093811035
2020-05-31,27.49571418762207
2020-06-01,6.982821941375732
2020-06-02,8.303732872009277
2020-06-03,7.388209819793701
2020-06-04,1.686572790145874
2020-06-05,2.066276788711548
2020-06-06,8.317427635192871
2020-06-07,8.317427635192871
2020-06-08,24.952281951904297
2020-06-09,8.317427635192871
2020-06-10,41.58713912963867
2020-06-11,7.593343257904053
2020-06-12,4.945775985717773
2020-06-13,2.392641067504883
2020-06-14,6.106985569000244
2020-06-15,3.1396801471710205
2020-06-16,0
2020-06-17,0
2020-06-18,0
2020-06-19,10.818787574768066
2020-06-20,0
2020-06-21,0
2020-06-22,0
2020-06-23,0
2020-06-24,0
2020-06-25,0
2020-06-26,0
2020-06-27,4.96198844909668
2020-06-28,0
2020-06-29,9.92397689819336
2020-06-30,0
2020-07-01,0
2020-07-02,2.7080490589141846
2020-07-03,2.7080490589141846
2020-07-04,0
2020-07-05,0
2020-07-06,1.9899468421936035
2020-07-07,1.9899468421936035
2020-07-08,3.979893684387207
2020-07-09,5.9698405265808105
2020-07-10,0
2020-07-11,8.34990406036377
2020-07-12,4.174952030181885
2020-07-13,4.174952030181885
2020-07-14,0
2020-07-15,0
2020-07-16,5.075005054473877
2020-07-17,8.619449615478516
2020-07-18,8.355850219726562
2020-07-19,3.676250457763672
2020-07-20,4.2566118240356445
2020-07-21,8.08187484741211
2020-07-22,0
2020-07-23,0
2020-07-24,4.040937423706055
2020-07-25,8.08187484741211
2020-07-26,11.12784481048584
2020-07-27,11.12784481048584
2020-07-28,0
2020-07-29,3.7092816829681396
2020-07-30,0
2020-07-31,0
2020-08-01,3.835968494415283
2020-08-02,5.753952503204346
2020-08-03,7.671936988830566
2020-08-04,3.835968494415283
2020-08-05,1.9179842472076416
2020-08-06,3.178952693939209
2020-08-07,0
2020-08-08,3.178952693939209
2020-08-09,6.357905387878418
2020-08-10,0
2020-08-11,0
2020-08-12,0
2020-08-13,0
2020-08-14,6.8751373291015625
2020-08-15,0
2020-08-16,0
2020-08-17,0
2020-08-18,23.44418716430664
2020-08-19,11.72209358215332
2020-08-20,17.583141326904297
2020-08-21,7.077556133270264
2020-08-22,7.077556133270264
2020-08-23,7.077556133270264
2020-08-24,3.538778066635132
2020-08-25,7.077556133270264
2020-08-26,5.509091377258301
2020-08-27,0
2020-08-28,0
2020-08-29,0
2020-08-30,0
2020-08-31,0
2020-09-01,9.245247840881348
2020-09-02,13.86787223815918
2020-09-03,9.245247840881348
2020-09-04,0
2020-09-05,9.245247840881348
2020-09-06,0
2020-09-07,14.3404541015625
2020-09-08,14.3404541015625
2020-09-09,21.51068115234375
2020-09-10,7.17022705078125
2020-09-11,0
2020-09-12,21.498849868774414
2020-09-13,7.166283130645752
2020-09-14,7.166283130645752
2020-09-15,0
2020-09-16,1.1927317380905151
2020-09-17,3.6123876571655273
2020-09-18,5.8182573318481445
2020-09-19,1.123538851737976
